Reactant SMILES,Metal
CC1=Cc2ccccc2S1(=O)=O,Ir
CC1=Cc2ccccc2S1(=O)=O,Ir
CC1=Cc2ccccc2S1(=O)=O,Ir
CC1=Cc2ccccc2S1(=O)=O,Ir
CC1=Cc2ccccc2S1(=O)=O,Ir
CC1=Cc2ccccc2S1(=O)=O,Ir
CC1=Cc2ccccc2S1(=O)=O,Ir
CCC1=Cc2ccccc2S1(=O)=O,Ir
CCCC1=Cc2ccccc2S1(=O)=O,Ir
O=S1(=O)C(Cc2ccccc2)=Cc2ccccc21,Ir
CC(C)C1=Cc2ccccc2S1(=O)=O,Ir
CC(C)(C)[Si](OCC1=Cc2ccccc2S1(=O)=O)(c1ccccc1)c1ccccc1,Ir
CC1=CS(=O)(=O)c2ccccc21,Ir
CC1=CS(=O)(=O)c2ccccc21,Ir
CC(C)C1=Cc2ccccc2S1(=O)=O,Ir
CC(C)C1=Cc2ccccc2S1(=O)=O,Ir
CC(C)C1=Cc2ccccc2S1(=O)=O,Ir
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CC(=O)NC1=C(C)CCCC1,Rh
CCC1=C(NC(C)=O)CCCC1,Rh
CCCC1=C(NC(C)=O)CCCC1,Rh
CC(=O)NC1=C(C(C)C)CCCC1,Rh
CC(=O)NC1=C(C2CCCCC2)CCCC1,Rh
CC(=O)NC1=C(Cc2ccccc2)CCCC1,Rh
CCOC(=O)CC1=C(NC(C)=O)CCCC1,Rh
CCOC(=O)C1=C(NC(C)=O)CCCC1,Rh
CC(=O)NC1=C(C)CCN(Cc2ccccc2)C1,Rh
CC(=O)NC1=C(C)CCN(S(=O)(=O)c2ccc(C)cc2)C1,Rh
CC(=O)NC1=C(C)CSCC1,Rh
CC(=O)NC1=C(C)COCC1,Rh
CC(=O)NC1=C(C)CC(C)(C)CC1,Rh
CC(=O)NC1=C(C2CCCC2)CCC1,Rh
CC(=O)NC1=C(C)CCC1,Rh
CC(=O)NC1=C(C)CCCCC1,Rh
CC(=O)NC(C)=C(C)C,Rh
CC1=C(NC(=O)c2ccccc2)CCCC1,Rh
CC1=C(NC(=O)C(C)(C)C)CCCC1,Rh
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Rh
CCOC(=O)/C=C(\C)c1ccccc1,Ir
CCOC(=O)/C=C(\C)c1ccccc1,Rh
C/C(=C\c1ccccc1)CO,Ir
C/C(=C\c1ccccc1)CO,Rh
C=C1CCCc2cc(OC)ccc21,Ir
C=C1CCCc2cc(OC)ccc21,Rh
C/C=C(\C)c1ccc(OC)cc1,Ir
C/C=C(\C)c1ccc(OC)cc1,Rh
COc1ccc(C(C)=C(C)C)cc1,Ir
CC1=C(C)c2ccccc2C1,Ir
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
